category_id,category_name,playlist_id,playlist_name
0JQ5DAqbMKFOzQeOmemkuw,TV & Movies,37i9dQZF1DX1tz6EDao8it,Iconic Soundtracks
0JQ5DAqbMKFOzQeOmemkuw,TV & Movies,37i9dQZF1DX4Jyx1uIhxnP,Indie Cinema
0JQ5DAqbMKFOzQeOmemkuw,TV & Movies,37i9dQZF1DXar0WmW5YgAc,Soundtrack Love Songs
0JQ5DAqbMKFRieVZLLoo9m,Instrumental,37i9dQZF1DX4sWSpwq3LiO,Peaceful Piano
0JQ5DAqbMKFRieVZLLoo9m,Instrumental,37i9dQZF1DWZd79rJ6a7lp,Sleep
0JQ5DAqbMKFRieVZLLoo9m,Instrumental,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation
0JQ5DAqbMKFRieVZLLoo9m,Instrumental,37i9dQZF1DWVqfgj8NZEp1,Coffee Table Jazz
0JQ5DAqbMKFRieVZLLoo9m,Instrumental,37i9dQZF1DWXe9gFZP0gtP,Stress Relief
0JQ5DAqbMKFLb2EqgLtpjC,Wellness,37i9dQZF1DWZqd5JICZI0u,Peaceful Meditation
0JQ5DAqbMKFLb2EqgLtpjC,Wellness,37i9dQZF1DX9uKNf5jGX6m,Yoga & Meditation
0JQ5DAqbMKFLb2EqgLtpjC,Wellness,37i9dQZF1DXebxttQCq0zA,Relaxing Massage
0JQ5DAqbMKFLb2EqgLtpjC,Wellness,37i9dQZF1DXdzGIPNRTvyN,Dreamy Forest Music
0JQ5DAqbMKFLb2EqgLtpjC,Wellness,37i9dQZF1DX1tuUiirhaT3,Meditate to the Sounds of Nature
0JQ5DAqbMKFAjfauKLOZiv,Punk,37i9dQZF1DX7fE85waV8CI,Klare Kante
0JQ5DAqbMKFAjfauKLOZiv,Punk,37i9dQZF1DX3MU5XUozve7,Skatepark Punks
0JQ5DAqbMKFAjfauKLOZiv,Punk,37i9dQZF1DXasneILDRM7B,Pure Pop Punk
0JQ5DAqbMKFAjfauKLOZiv,Punk,37i9dQZF1DXb1IUaS6F7Z8,Celtic Punk
0JQ5DAqbMKFAjfauKLOZiv,Punk,37i9dQZF1DX9wa6XirBPv8,Emo Forever
0JQ5DAqbMKFLjmiZRss79w,Ambient,37i9dQZF1DX9c7yCloFHHL,Ambient X
0JQ5DAqbMKFLjmiZRss79w,Ambient,37i9dQZF1DX4CZc00Cxa3X,The Listening Room
0JQ5DAqbMKFLjmiZRss79w,Ambient,37i9dQZF1DWUrPBdYfoJvz,Ambient Essentials
0JQ5DAqbMKFLjmiZRss79w,Ambient,37i9dQZF1DXdf43Md5h6cE,Ambient Dreamscapes
0JQ5DAqbMKFLjmiZRss79w,Ambient,37i9dQZF1DXaJ6UYQLBB2k,Ambient 1990s
0JQ5DAqbMKFQiK2EHwyjcU,Blues,37i9dQZF1DXd9rSDyQguIk,Blues Classics
0JQ5DAqbMKFQiK2EHwyjcU,Blues,37i9dQZF1DXcu3QLJudo4X,Blues Standards
0JQ5DAqbMKFQiK2EHwyjcU,Blues,37i9dQZF1DX9GnjlK17CLK,Electric Blues Classics
0JQ5DAqbMKFQiK2EHwyjcU,Blues,37i9dQZF1DX9GSZDbrndTa,Jazz-Blues
0JQ5DAqbMKFQiK2EHwyjcU,Blues,37i9dQZF1DWWhiW4fdIska,Classic Blues Guitar
0JQ5DAqbMKFRY5ok2pxXJ0,Cooking & Dining,37i9dQZF1DX4xuWVBs4FgJ,Dinner with Friends
0JQ5DAqbMKFRY5ok2pxXJ0,Cooking & Dining,37i9dQZF1DX2FsCLsHeMrM,Kitchen Swagger
0JQ5DAqbMKFRY5ok2pxXJ0,Cooking & Dining,37i9dQZF1DXbm6HfkbMtFZ,Feel Good Dinner
0JQ5DAqbMKFRY5ok2pxXJ0,Cooking & Dining,37i9dQZF1DWVUxkQFrGCkK,Umami
0JQ5DAqbMKFRY5ok2pxXJ0,Cooking & Dining,37i9dQZF1DX5Vpt0fhumU1,Spanish Tapas Bar
0JQ5DAqbMKFFtlLYUHv8bT,Alternative,37i9dQZF1DWUWMh0bqZPTE,AlternaRap
0JQ5DAqbMKFFtlLYUHv8bT,Alternative,37i9dQZF1DWWmsWPbM2pKT,Darkwave
0JQ5DAqbMKFFtlLYUHv8bT,Alternative,37i9dQZF1DX0Nb1cyWS6Tq,Dark & Gothic
0JQ5DAqbMKFFtlLYUHv8bT,Alternative,37i9dQZF1DWT7XSlwvR1ar,Totally Stress Free
0JQ5DAqbMKFFtlLYUHv8bT,Alternative,37i9dQZF1DWSAm0NxvFu7q,Viral Rock
0JQ5DAqbMKFAQy4HL4XU2D,Travel,37i9dQZF1DWWMOmoXKqHTD,Songs to Sing in the Car
0JQ5DAqbMKFAQy4HL4XU2D,Travel,37i9dQZF1DX2ogDiL6nZJr,Van Life
0JQ5DAqbMKFAQy4HL4XU2D,Travel,37i9dQZF1DX9wC1KY45plY,Classic Road Trip Songs
0JQ5DAqbMKFAQy4HL4XU2D,Travel,37i9dQZF1DX76cnmxfAAhD,90s Road Trip
0JQ5DAqbMKFAQy4HL4XU2D,Travel,37i9dQZF1DWWiDhnQ2IIru,70s Road Trip
0JQ5DAqbMKFJKoGyUMo2hE,Reggae,37i9dQZF1DXbwoaqxaoAVr,Summer Sunshine Reggae
0JQ5DAqbMKFJKoGyUMo2hE,Reggae,37i9dQZF1DXbSbnqxMTGx9,Reggae Classics
0JQ5DAqbMKFJKoGyUMo2hE,Reggae,37i9dQZF1DWSiyIBdVQrkk,One Love
0JQ5DAqbMKFJKoGyUMo2hE,Reggae,37i9dQZF1DWWDLvD3P5wOG,Dancehall Throwback
0JQ5DAqbMKFJKoGyUMo2hE,Reggae,37i9dQZF1DWYtKpmml7moA,Chilled Reggae
0JQ5DAqbMKFObNLOHydSW8,Caribbean,37i9dQZF1DXbSbnqxMTGx9,Reggae Classics
0JQ5DAqbMKFObNLOHydSW8,Caribbean,37i9dQZF1DWSiyIBdVQrkk,One Love
0JQ5DAqbMKFObNLOHydSW8,Caribbean,37i9dQZF1DWWDLvD3P5wOG,Dancehall Throwback
0JQ5DAqbMKFObNLOHydSW8,Caribbean,37i9dQZF1DWYtKpmml7moA,Chilled Reggae
0JQ5DAqbMKFObNLOHydSW8,Caribbean,37i9dQZF1DX0cNYCfLOrsu,Dancehall Queen
0JQ5DAqbMKFNQ0fGp4byGU,Afro,37i9dQZF1DWYkaDif7Ztbp,African Heat
0JQ5DAqbMKFNQ0fGp4byGU,Afro,37i9dQZF1DWYs2pvwxWA7l,Afropop
